Period,<=24,24 and 36,36 and 48,48 and 59,>=60,Unknown
Q1,12.2,53.9,6.3,18.9,6.9,1.8
Q2,14.3,58.3,4.1,16.7,5.9,0.7
Q3,19.5,52.2,2.8,17.4,7.0,1.1
Q4,25.4,50.3,2.7,14.4,5.6,1.7
